sample,ancestral,contemp,other_p1,other_p2,person,method
25,6,6,5,5,meaghan,matchstick
26,4,5,2,2,meaghan,matchstick
27,9,8,8,9,meaghan,matchstick
28,4,4,4,4,meaghan,matchstick
29,8,4,4,6,meaghan,matchstick
30,3,3,3,4,meaghan,matchstick
31,2,3,4,4,meaghan,matchstick
32,4,5,5,2,meaghan,matchstick
33,10,9,7,6,meaghan,matchstick
34,12,11,10,11,meaghan,matchstick
35,10,6,6,5,meaghan,matchstick
36,10,5,11,10,meaghan,matchstick
37,10,13,14,13,meaghan,matchstick
38,11,12,13,11,meaghan,matchstick
39,4,4,4,4,meaghan,matchstick
40,5,6,5,6,meaghan,matchstick
41,4,4,4,8,meaghan,matchstick
42,3,4,4,4,meaghan,matchstick
43,2,4,3,3,meaghan,matchstick
44,0,0,0,0,meaghan,matchstick
45,6,4,9,9,meaghan,matchstick
46,6,9,7,7,meaghan,matchstick
47,10,9,11,11,meaghan,matchstick
48,7,5,5,5,meaghan,matchstick
25,7,6,6,5,dan,matchstick
26,6,4,2,3,dan,matchstick
27,9,8,7,8,dan,matchstick
28,4,4,4,4,dan,matchstick
29,5,3,3,5,dan,matchstick
30,3,3,3,3,dan,matchstick
31,9,7,7,5,dan,matchstick
32,8,12,9,9,dan,matchstick
33,10,9,8,6,dan,matchstick
34,11,11,10,9,dan,matchstick
35,10,6,4,5,dan,matchstick
36,10,7,8,10,dan,matchstick
37,7,9,7,7,dan,matchstick
38,11,12,11,9,dan,matchstick
39,3,4,4,4,dan,matchstick
40,2,3,3,3,dan,matchstick
41,3,5,7,7,dan,matchstick
42,4,3,4,5,dan,matchstick
43,1,1,0,1,dan,matchstick
44,0,1,0,0,dan,matchstick
45,7,4,5,6,dan,matchstick
46,4,10,7,8,dan,matchstick
47,9,8,11,10,dan,matchstick
48,7,6,5,5,dan,matchstick
25,5,5,5,5,meaghan,comb
26,8,8,5,6,meaghan,comb
27,7,7,7,7,meaghan,comb
28,5,5,5,5,meaghan,comb
29,2,2,3,2,meaghan,comb
30,3,3,3,4,meaghan,comb
31,5,5,5,5,meaghan,comb
32,6,6,6,6,meaghan,comb
33,5,6,5,5,meaghan,comb
34,10,10,10,10,meaghan,comb
35,4,3,3,3,meaghan,comb
36,10,10,10,10,meaghan,comb
37,17,15,15,15,meaghan,comb
38,13,13,13,13,meaghan,comb
39,5,5,5,5,meaghan,comb
40,6,6,6,5,meaghan,comb
41,9,9,9,9,meaghan,comb
42,3,4,4,4,meaghan,comb
43,6,6,6,6,meaghan,comb
44,3,4,1,1,meaghan,comb
45,9,9,9,9,meaghan,comb
46,12,11,11,11,meaghan,comb
47,11,11,11,11,meaghan,comb
48,5,5,5,5,meaghan,comb
